name,value,locations/0/text,locations/1/text,locations/2/text,locations/3/text,locations/4/text,locations/5/text,locations/6/text,locations/7/text,locations/8/text,locations/9/text,locations/10/text,locations/11/text,locations/12/text
Baldwin,5,"05/26/2015 - 05/29/2015 8:30 AM - 5:00 PM, Days: Tu,W,Th,F 121 N Wilkinson St Ste 104 Milledgeville, GA 31061","06/01/2015 - 06/12/2015 8:30 AM - 5:00 PM, Days: M,Tu,W,Th,F 121 N Wilkinson St Ste 104 Milledgeville, GA 31061",,,,,,,,,,,
Ben Hill,9,"05/26/2015 - 06/12/2015 7:30 AM - 4:00 PM, Days: M,Tu,W,Th,F Ben Hill Elections Office 115 W Pine Street Fitzgerald, GA 31750",,,,,,,,,,,,
Camden,20,"05/26/2015 - 06/12/2015 8:30 AM - 5:00 PM, Days: M,Tu,W,Th,F Voter Registration 200 E 4th St Woodbine, GA 31569",,,,,,,,,,,,
Clayton,31,"05/26/2015 - 06/12/2015 8:30 AM - 4:30 PM, Days: M,Tu,W,Th,F Clayton County Elections and Registration 121 S. McDonough Street Jonesboro, GA 30236",,,,,,,,,,,,
Cook,37,"05/26/2015 - 06/12/2015 8:30 AM - 4:30 PM, Days: M,Tu,W,Th,F Cook County Administration Building 1200 S Hutchinson Ave Adel, GA 31620",,,,,,,,,,,,
DeKalb,44,"05/26/2015 - 06/12/2015 8:30 AM - 4:00 PM, Days: M,Tu,W,Th,F Memorial Drive Complex, Suite 300 4380 Memorial Drive Decatur, GA 30032",,,,,,,,,,,,
Early,49,"05/26/2015 - 06/12/2015 8:30 AM - 4:30 PM, Days: M,Tu,W,Th,F Elections and Registration Office 15157 River Street Blakely, GA",,,,,,,,,,,,
Forsyth,58,"05/26/2015 - 05/29/2015 8:00 AM - 5:00 PM, Days: Tu,W,Th,F Cumming City Hall 100 Main Street Cumming, GA 30040","05/26/2015 - 05/29/2015 8:00 AM - 5:00 PM, Days: Tu,W,Th,F Voter Registrations & Elections Office Forsyth County Administration Bldg 110 East Main Street Cumming, GA 30040","06/01/2015 - 06/05/2015 8:00 AM - 5:00 PM, Days: M,Tu,W,Th,F Cumming City Hall 100 Main Street Cumming, GA 30040","06/01/2015 - 06/05/2015 8:00 AM - 5:00 PM, Days: M,Tu,W,Th,F Voter Registrations & Elections Office Forsyth County Administration Bldg 110 East Main Street Cumming, GA 30040","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa Cumming City Hall 100 Main Street Cumming, GA 30040","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa Midway Park Community Building 5100 Post Road Cumming, GA 30040","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa Voter Registrations & Elections Office Forsyth County Administration Bldg 110 East Main Street Cumming, GA 30040","06/08/2015 - 06/10/2015 8:00 AM - 5:00 PM, Days: M,Tu,W Cumming City Hall 100 Main Street Cumming, GA 30040","06/08/2015 - 06/10/2015 8:00 AM - 5:00 PM, Days: M,Tu,W Midway Park Community Building 5100 Post Road Cumming, GA 30040","06/08/2015 - 06/10/2015 8:00 AM - 5:00 PM, Days: M,Tu,W Voter Registrations & Elections Office Forsyth County Administration Bldg 110 East Main Street Cumming, GA 30040","06/11/2015 - 06/12/2015 8:00 AM - 7:00 PM, Days: Th,F Cumming City Hall 100 Main Street Cumming, GA 30040","06/11/2015 - 06/12/2015 8:00 AM - 7:00 PM, Days: Th,F Midway Park Community Building 5100 Post Road Cumming, GA 30040","06/11/2015 - 06/12/2015 8:00 AM - 7:00 PM, Days: Th,F Voter Registrations & Elections Office Forsyth County Administration Bldg 110 East Main Street Cumming, GA 30040"
Franklin,59,"05/26/2015 - 06/12/2015 8:00 AM - 4:30 PM, Days: M,Tu,W,Th,F Elections & Registration Office 211 Athens Street Carnesville, GA 30521",,,,,,,,,,,,
Fulton,60,"05/26/2015 - 06/12/2015 8:30 AM - 5:00 PM, Days: M,Tu,W,Th,F Fulton County Government Center 130 Peachtree Street, SW Atlanta, GA 30303","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa Fulton County Government Center 130 Peachtree Street, SW Atlanta, GA 30303","06/10/2015 - 06/12/2015 8:30 AM - 5:00 PM, Days: W,Th,F Buckhead Library 269 Buckhead Avenue NE Atlanta, GA 30305","06/10/2015 - 06/12/2015 8:30 AM - 5:00 PM, Days: W,Th,F SouthWest Arts Center 915 New Hope Road SW Atlanta, GA 30331",,,,,,,,,
Liberty,89,"05/26/2015 - 06/12/2015 8:00 AM - 5:00 PM, Days: M,Tu,W,Th,F 100 N. Main St. Suite 1600 Historical Courthouse Hinesville, GA 31313","05/26/2015 - 06/12/2015 8:00 AM - 5:00 PM, Days: M,Tu,W,Th,F liberty County Complex 9397 E. Oglethorpe Hwy Midway, GA 31320","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa 100 N. Main St. Suite 1600 Historical Courthouse Hinesville, GA 31313","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa 100 N. Main St. Suite 1600 Historical Courthouse Hinesville, GA 31313","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa liberty County Complex 9397 E. Oglethorpe Hwy Midway, GA 31320","06/06/2015 - 06/06/2015 9:00 AM - 4:00 PM, Days: Sa liberty County Complex 9397 E. Oglethorpe Hwy Midway, GA 31320",,,,,,,
Telfair,134,"05/26/2015 - 06/12/2015 8:00 AM - 5:00 PM, Days: M,Tu,Th,F City of Lumber City City Hall 301 Main St Lumber City, GA 31549",,,,,,,,,,,,
Wayne,151,"05/26/2015 - 06/12/2015 9:00 AM - 5:00 PM, Days: M,Tu,W,Th,F Wayne County Courthouse Registrar's Office 174 North Brunswick Street Jesup, GA 31546",,,,,,,,,,,,
